vm,uts,ts,kbs
agger.SMK.DK,1432188000,21-05-2015 08:00:00,6
agger.SMK.DK,1432180800,21-05-2015 06:00:00,1
agger.SMK.DK,1432173600,21-05-2015 04:00:00,11
agger.SMK.DK,1432166400,21-05-2015 02:00:00,1
agger.SMK.DK,1432159200,21-05-2015 00:00:00,1
agger.SMK.DK,1432152000,20-05-2015 22:00:00,1
agger.SMK.DK,1432144800,20-05-2015 20:00:00,1
agger.SMK.DK,1432137600,20-05-2015 18:00:00,1
agger.SMK.DK,1432130400,20-05-2015 16:00:00,1
agger.SMK.DK,1432123200,20-05-2015 14:00:00,1
agger.SMK.DK,1432116000,20-05-2015 12:00:00,1
agger.SMK.DK,1432108800,20-05-2015 10:00:00,28
agger.SMK.DK,1432101600,20-05-2015 08:00:00,1
agger.SMK.DK,1432094400,20-05-2015 06:00:00,1
agger.SMK.DK,1432087200,20-05-2015 04:00:00,1
agger.SMK.DK,1432080000,20-05-2015 02:00:00,1
agger.SMK.DK,1432072800,20-05-2015 00:00:00,1
agger.SMK.DK,1432065600,19-05-2015 22:00:00,1
agger.SMK.DK,1432058400,19-05-2015 20:00:00,1
agger.SMK.DK,1432051200,19-05-2015 18:00:00,1
agger.SMK.DK,1432044000,19-05-2015 16:00:00,11
agger.SMK.DK,1432036800,19-05-2015 14:00:00,1
agger.SMK.DK,1432029600,19-05-2015 12:00:00,1
agger.SMK.DK,1432022400,19-05-2015 10:00:00,1
agger.SMK.DK,1432015200,19-05-2015 08:00:00,1
agger.SMK.DK,1432008000,19-05-2015 06:00:00,1
agger.SMK.DK,1432000800,19-05-2015 04:00:00,1
agger.SMK.DK,1431993600,19-05-2015 02:00:00,1
agger.SMK.DK,1431986400,19-05-2015 00:00:00,1
agger.SMK.DK,1431979200,18-05-2015 22:00:00,12
agger.SMK.DK,1431972000,18-05-2015 20:00:00,1
agger.SMK.DK,1431964800,18-05-2015 18:00:00,1
agger.SMK.DK,1431957600,18-05-2015 16:00:00,1
agger.SMK.DK,1431950400,18-05-2015 14:00:00,1
agger.SMK.DK,1431943200,18-05-2015 12:00:00,1
agger.SMK.DK,1431936000,18-05-2015 10:00:00,1
agger.SMK.DK,1431928800,18-05-2015 08:00:00,1
agger.SMK.DK,1431921600,18-05-2015 06:00:00,1
agger.SMK.DK,1431914400,18-05-2015 04:00:00,1
agger.SMK.DK,1431907200,18-05-2015 02:00:00,1
agger.SMK.DK,1431900000,18-05-2015 00:00:00,11
agger.SMK.DK,1431892800,17-05-2015 22:00:00,1
agger.SMK.DK,1431885600,17-05-2015 20:00:00,1
agger.SMK.DK,1431878400,17-05-2015 18:00:00,1
agger.SMK.DK,1431871200,17-05-2015 16:00:00,1
agger.SMK.DK,1431864000,17-05-2015 14:00:00,1
agger.SMK.DK,1431856800,17-05-2015 12:00:00,1
agger.SMK.DK,1431849600,17-05-2015 10:00:00,1
agger.SMK.DK,1431842400,17-05-2015 08:00:00,1
agger.SMK.DK,1431835200,17-05-2015 06:00:00,1
agger.SMK.DK,1431828000,17-05-2015 04:00:00,11
agger.SMK.DK,1431820800,17-05-2015 02:00:00,1
agger.SMK.DK,1431813600,17-05-2015 00:00:00,1
agger.SMK.DK,1431806400,16-05-2015 22:00:00,1
agger.SMK.DK,1431799200,16-05-2015 20:00:00,1
agger.SMK.DK,1431792000,16-05-2015 18:00:00,1
agger.SMK.DK,1431784800,16-05-2015 16:00:00,1
agger.SMK.DK,1431777600,16-05-2015 14:00:00,1
agger.SMK.DK,1431770400,16-05-2015 12:00:00,1
agger.SMK.DK,1431763200,16-05-2015 10:00:00,1
agger.SMK.DK,1431756000,16-05-2015 08:00:00,11
agger.SMK.DK,1431748800,16-05-2015 06:00:00,1
agger.SMK.DK,1431741600,16-05-2015 04:00:00,1
agger.SMK.DK,1431734400,16-05-2015 02:00:00,1
agger.SMK.DK,1431727200,16-05-2015 00:00:00,1
agger.SMK.DK,1431720000,15-05-2015 22:00:00,1
agger.SMK.DK,1431712800,15-05-2015 20:00:00,1
agger.SMK.DK,1431705600,15-05-2015 18:00:00,1
agger.SMK.DK,1431698400,15-05-2015 16:00:00,1
agger.SMK.DK,1431691200,15-05-2015 14:00:00,1
agger.SMK.DK,1431684000,15-05-2015 12:00:00,1
agger.SMK.DK,1431676800,15-05-2015 10:00:00,38
agger.SMK.DK,1431669600,15-05-2015 08:00:00,2
agger.SMK.DK,1431662400,15-05-2015 06:00:00,0
agger.SMK.DK,1431655200,15-05-2015 04:00:00,0
agger.SMK.DK,1431648000,15-05-2015 02:00:00,0
agger.SMK.DK,1431640800,15-05-2015 00:00:00,0
agger.SMK.DK,1431633600,14-05-2015 22:00:00,0
agger.SMK.DK,1431626400,14-05-2015 20:00:00,0
agger.SMK.DK,1431619200,14-05-2015 18:00:00,0
agger.SMK.DK,1431612000,14-05-2015 16:00:00,0
agger.SMK.DK,1431604800,14-05-2015 14:00:00,14
agger.SMK.DK,1431597600,14-05-2015 12:00:00,0
agger.SMK.DK,1431590400,14-05-2015 10:00:00,0
agger.SMK.DK,1431583200,14-05-2015 08:00:00,0
agger.SMK.DK,1431576000,14-05-2015 06:00:00,0
agger.SMK.DK,1431568800,14-05-2015 04:00:00,0
agger.SMK.DK,1431561600,14-05-2015 02:00:00,0
agger.SMK.DK,1431554400,14-05-2015 00:00:00,33
agger.SMK.DK,1431547200,13-05-2015 22:00:00,0
agger.SMK.DK,1431540000,13-05-2015 20:00:00,0
agger.SMK.DK,1431532800,13-05-2015 18:00:00,0
agger.SMK.DK,1431525600,13-05-2015 16:00:00,61
agger.SMK.DK,1431518400,13-05-2015 14:00:00,0
agger.SMK.DK,1431511200,13-05-2015 12:00:00,0
agger.SMK.DK,1431504000,13-05-2015 10:00:00,0
agger.SMK.DK,1431496800,13-05-2015 08:00:00,0
agger.SMK.DK,1431489600,13-05-2015 06:00:00,0
agger.SMK.DK,1431482400,13-05-2015 04:00:00,1
agger.SMK.DK,1431475200,13-05-2015 02:00:00,718
agger.SMK.DK,1431468000,13-05-2015 00:00:00,0
agger.SMK.DK,1431460800,12-05-2015 22:00:00,0
agger.SMK.DK,1431453600,12-05-2015 20:00:00,298
agger.SMK.DK,1431446400,12-05-2015 18:00:00,0
agger.SMK.DK,1431439200,12-05-2015 16:00:00,0
agger.SMK.DK,1431432000,12-05-2015 14:00:00,5
agger.SMK.DK,1431424800,12-05-2015 12:00:00,0
agger.SMK.DK,1431417600,12-05-2015 10:00:00,0
agger.SMK.DK,1431410400,12-05-2015 08:00:00,0
agger.SMK.DK,1431403200,12-05-2015 06:00:00,2
agger.SMK.DK,1431396000,12-05-2015 04:00:00,0
agger.SMK.DK,1431388800,12-05-2015 02:00:00,0
agger.SMK.DK,1431381600,12-05-2015 00:00:00,9
agger.SMK.DK,1431374400,11-05-2015 22:00:00,0
agger.SMK.DK,1431367200,11-05-2015 20:00:00,0
agger.SMK.DK,1431360000,11-05-2015 18:00:00,0
agger.SMK.DK,1431352800,11-05-2015 16:00:00,0
agger.SMK.DK,1431345600,11-05-2015 14:00:00,0
agger.SMK.DK,1431338400,11-05-2015 12:00:00,0
agger.SMK.DK,1431331200,11-05-2015 10:00:00,0
agger.SMK.DK,1431324000,11-05-2015 08:00:00,0
agger.SMK.DK,1431316800,11-05-2015 06:00:00,0
agger.SMK.DK,1431309600,11-05-2015 04:00:00,9
agger.SMK.DK,1431302400,11-05-2015 02:00:00,0
agger.SMK.DK,1431295200,11-05-2015 00:00:00,0
agger.SMK.DK,1431288000,10-05-2015 22:00:00,0
agger.SMK.DK,1431280800,10-05-2015 20:00:00,0
agger.SMK.DK,1431273600,10-05-2015 18:00:00,0
agger.SMK.DK,1431266400,10-05-2015 16:00:00,0
agger.SMK.DK,1431259200,10-05-2015 14:00:00,0
agger.SMK.DK,1431252000,10-05-2015 12:00:00,0
agger.SMK.DK,1431244800,10-05-2015 10:00:00,9
agger.SMK.DK,1431237600,10-05-2015 08:00:00,0
agger.SMK.DK,1431230400,10-05-2015 06:00:00,0
agger.SMK.DK,1431223200,10-05-2015 04:00:00,0
agger.SMK.DK,1431216000,10-05-2015 02:00:00,0
agger.SMK.DK,1431208800,10-05-2015 00:00:00,0
agger.SMK.DK,1431201600,09-05-2015 22:00:00,0
agger.SMK.DK,1431194400,09-05-2015 20:00:00,0
agger.SMK.DK,1431187200,09-05-2015 18:00:00,0
