vm,uts,ts,kbs
aa,1431993600,19-05-2015 02:00:00,11
aa,1431907200,18-05-2015 02:00:00,11
aa,1431820800,17-05-2015 02:00:00,14
aa,1431734400,16-05-2015 02:00:00,13
aa,1431648000,15-05-2015 02:00:00,10
aa,1431561600,14-05-2015 02:00:00,11
aa,1431475200,13-05-2015 02:00:00,11
aa,1431388800,12-05-2015 02:00:00,11
aa,1431302400,11-05-2015 02:00:00,11
aa,1431216000,10-05-2015 02:00:00,11
aa,1431129600,09-05-2015 02:00:00,12
aa,1431043200,08-05-2015 02:00:00,18
aa,1430956800,07-05-2015 02:00:00,25
aa,1430870400,06-05-2015 02:00:00,14
aa,1430784000,05-05-2015 02:00:00,18
aa,1430697600,04-05-2015 02:00:00,23
aa,1430611200,03-05-2015 02:00:00,7
aa,1430524800,02-05-2015 02:00:00,88
aa,1430438400,01-05-2015 02:00:00,24
aa,1430352000,30-04-2015 02:00:00,139
aa,1430265600,29-04-2015 02:00:00,76
aa,1430179200,28-04-2015 02:00:00,3
aa,1430092800,27-04-2015 02:00:00,3
aa,1430006400,26-04-2015 02:00:00,10
aa,1429920000,25-04-2015 02:00:00,564
aa,1429833600,24-04-2015 02:00:00,417
aa,1429747200,23-04-2015 02:00:00,330
aa,1429660800,22-04-2015 02:00:00,451
CM-02,1432080000,20-05-2015 02:00:00,0
CM-02,1431993600,19-05-2015 02:00:00,0
CM-02,1431907200,18-05-2015 02:00:00,0
CM-02,1431820800,17-05-2015 02:00:00,0
CM-02,1431734400,16-05-2015 02:00:00,0
CM-02,1431648000,15-05-2015 02:00:00,0
CM-02,1431561600,14-05-2015 02:00:00,0
CM-02,1431475200,13-05-2015 02:00:00,2
CM-02,1431388800,12-05-2015 02:00:00,0
CM-02,1431302400,11-05-2015 02:00:00,0
CM-02,1431216000,10-05-2015 02:00:00,0
CM-02,1431129600,09-05-2015 02:00:00,0
CM-02,1431043200,08-05-2015 02:00:00,122
dns-bind-01,1432195200,21-05-2015 10:00:00,0
dns-bind-01,1432188000,21-05-2015 08:00:00,0
dns-bind-01,1432180800,21-05-2015 06:00:00,34
dns-bind-01,1432173600,21-05-2015 04:00:00,0
dns-bind-01,1432166400,21-05-2015 02:00:00,0
dns-bind-01,1432159200,21-05-2015 00:00:00,0
dns-bind-01,1432152000,20-05-2015 22:00:00,0
dns-bind-01,1432144800,20-05-2015 20:00:00,0
dns-bind-01,1432137600,20-05-2015 18:00:00,9
dns-bind-01,1432130400,20-05-2015 16:00:00,0
dns-bind-01,1432123200,20-05-2015 14:00:00,9
dns-bind-01,1432116000,20-05-2015 12:00:00,0
dns-bind-01,1432108800,20-05-2015 10:00:00,0
dns-bind-01,1432101600,20-05-2015 08:00:00,0
dns-bind-01,1432094400,20-05-2015 06:00:00,36
dns-bind-01,1432087200,20-05-2015 04:00:00,0
dns-bind-01,1432080000,20-05-2015 02:00:00,0
dns-bind-01,1432072800,20-05-2015 00:00:00,0
dns-bind-01,1432065600,19-05-2015 22:00:00,0
dns-bind-01,1432058400,19-05-2015 20:00:00,0
dns-bind-01,1432051200,19-05-2015 18:00:00,2
dns-bind-01,1432044000,19-05-2015 16:00:00,0
dns-bind-01,1432036800,19-05-2015 14:00:00,8
dns-bind-01,1432029600,19-05-2015 12:00:00,0
dns-bind-01,1432022400,19-05-2015 10:00:00,0
dns-bind-01,1432015200,19-05-2015 08:00:00,0
dns-bind-01,1432008000,19-05-2015 06:00:00,34
dns-bind-01,1432000800,19-05-2015 04:00:00,0
dns-bind-01,1431993600,19-05-2015 02:00:00,0
dns-bind-01,1431986400,19-05-2015 00:00:00,0
dns-bind-01,1431979200,18-05-2015 22:00:00,0
dns-bind-01,1431972000,18-05-2015 20:00:00,0
dns-bind-01,1431964800,18-05-2015 18:00:00,1
dns-bind-01,1431957600,18-05-2015 16:00:00,0
dns-bind-01,1431950400,18-05-2015 14:00:00,15
dns-bind-01,1431943200,18-05-2015 12:00:00,0
dns-bind-01,1431936000,18-05-2015 10:00:00,0
dns-bind-01,1431928800,18-05-2015 08:00:00,0
dns-bind-01,1431921600,18-05-2015 06:00:00,34
