vm,uts,ts,kbs
WEB-SQL-02,1432188000,21-05-2015 08:00:00,1
WEB-SQL-02,1432180800,21-05-2015 06:00:00,2
WEB-SQL-02,1432173600,21-05-2015 04:00:00,1
WEB-SQL-02,1432166400,21-05-2015 02:00:00,1
WEB-SQL-02,1432159200,21-05-2015 00:00:00,1
WEB-SQL-02,1432152000,20-05-2015 22:00:00,1
WEB-SQL-02,1432144800,20-05-2015 20:00:00,1
WEB-SQL-02,1432137600,20-05-2015 18:00:00,2
WEB-SQL-02,1432130400,20-05-2015 16:00:00,1
WEB-SQL-02,1432123200,20-05-2015 14:00:00,1
WEB-SQL-02,1432116000,20-05-2015 12:00:00,1
WEB-SQL-02,1432108800,20-05-2015 10:00:00,1
WEB-SQL-02,1432101600,20-05-2015 08:00:00,1
WEB-SQL-02,1432094400,20-05-2015 06:00:00,2
WEB-SQL-02,1432087200,20-05-2015 04:00:00,1
WEB-SQL-02,1432080000,20-05-2015 02:00:00,1
WEB-SQL-02,1432072800,20-05-2015 00:00:00,1
WEB-SQL-02,1432065600,19-05-2015 22:00:00,1
WEB-SQL-02,1432058400,19-05-2015 20:00:00,1
WEB-SQL-02,1432051200,19-05-2015 18:00:00,1
WEB-SQL-02,1432044000,19-05-2015 16:00:00,1
WEB-SQL-02,1432036800,19-05-2015 14:00:00,1
WEB-SQL-02,1432029600,19-05-2015 12:00:00,2
WEB-SQL-02,1432022400,19-05-2015 10:00:00,2
WEB-SQL-02,1432015200,19-05-2015 08:00:00,1
WEB-SQL-02,1432008000,19-05-2015 06:00:00,3
WEB-SQL-02,1432000800,19-05-2015 04:00:00,1
WEB-SQL-02,1431993600,19-05-2015 02:00:00,1
WEB-SQL-02,1431986400,19-05-2015 00:00:00,1
WEB-SQL-02,1431979200,18-05-2015 22:00:00,1
WEB-SQL-02,1431972000,18-05-2015 20:00:00,1
WEB-SQL-02,1431964800,18-05-2015 18:00:00,2
WEB-SQL-02,1431957600,18-05-2015 16:00:00,1
WEB-SQL-02,1431950400,18-05-2015 14:00:00,2
WEB-SQL-02,1431943200,18-05-2015 12:00:00,1
WEB-SQL-02,1431936000,18-05-2015 10:00:00,1
WEB-SQL-02,1431928800,18-05-2015 08:00:00,2
WEB-SQL-02,1431921600,18-05-2015 06:00:00,2
WEB-SQL-02,1431914400,18-05-2015 04:00:00,2
WEB-SQL-02,1431907200,18-05-2015 02:00:00,2
WEB-SQL-02,1431900000,18-05-2015 00:00:00,1
WEB-SQL-02,1431892800,17-05-2015 22:00:00,2
WEB-SQL-02,1431885600,17-05-2015 20:00:00,2
WEB-SQL-02,1431878400,17-05-2015 18:00:00,1
WEB-SQL-02,1431871200,17-05-2015 16:00:00,2
WEB-SQL-02,1431864000,17-05-2015 14:00:00,2
