vm,uts,ts,kbs
sql-01,1431993600,19-05-2015 02:00:00,3
sql-01,1431907200,18-05-2015 02:00:00,2
sql-01,1431820800,17-05-2015 02:00:00,2
sql-01,1431734400,16-05-2015 02:00:00,2
sql-01,1431648000,15-05-2015 02:00:00,2
sql-01,1431561600,14-05-2015 02:00:00,2
sql-01,1431475200,13-05-2015 02:00:00,3
sql-01,1431388800,12-05-2015 02:00:00,620
adfs-proxy,1432195200,21-05-2015 10:00:00,107
adfs-proxy,1432188000,21-05-2015 08:00:00,84
adfs-proxy,1432180800,21-05-2015 06:00:00,92
adfs-proxy,1432173600,21-05-2015 04:00:00,85
adfs-proxy,1432166400,21-05-2015 02:00:00,262
adfs-proxy,1432159200,21-05-2015 00:00:00,154
adfs-proxy,1432152000,20-05-2015 22:00:00,120
adfs-proxy,1432144800,20-05-2015 20:00:00,93
adfs-proxy,1432137600,20-05-2015 18:00:00,92
adfs-proxy,1432130400,20-05-2015 16:00:00,242
adfs-proxy,1432123200,20-05-2015 14:00:00,95
adfs-proxy,1432116000,20-05-2015 12:00:00,79
adfs-proxy,1432108800,20-05-2015 10:00:00,171
adfs-proxy,1432101600,20-05-2015 08:00:00,112
adfs-proxy,1432094400,20-05-2015 06:00:00,101
adfs-proxy,1432087200,20-05-2015 04:00:00,88
adfs-proxy,1432080000,20-05-2015 02:00:00,96
adfs-proxy,1432072800,20-05-2015 00:00:00,134
adfs-proxy,1432065600,19-05-2015 22:00:00,76
adfs-proxy,1432058400,19-05-2015 20:00:00,103
adfs-proxy,1432051200,19-05-2015 18:00:00,131
adfs-proxy,1432044000,19-05-2015 16:00:00,201
adfs-proxy,1432036800,19-05-2015 14:00:00,91
adfs-proxy,1432029600,19-05-2015 12:00:00,164
adfs-proxy,1432022400,19-05-2015 10:00:00,168
adfs-proxy,1432015200,19-05-2015 08:00:00,111
adfs-proxy,1432008000,19-05-2015 06:00:00,89
adfs-proxy,1432000800,19-05-2015 04:00:00,133
adfs-proxy,1431993600,19-05-2015 02:00:00,117
adfs-proxy,1431986400,19-05-2015 00:00:00,175
adfs-proxy,1431979200,18-05-2015 22:00:00,157
adfs-proxy,1431972000,18-05-2015 20:00:00,142
adfs-proxy,1431964800,18-05-2015 18:00:00,126
adfs-proxy,1431957600,18-05-2015 16:00:00,271
adfs-proxy,1431950400,18-05-2015 14:00:00,115
adfs-proxy,1431943200,18-05-2015 12:00:00,137
adfs-proxy,1431936000,18-05-2015 10:00:00,148
adfs-proxy,1431928800,18-05-2015 08:00:00,95
adfs-proxy,1431921600,18-05-2015 06:00:00,93
adfs-proxy,1431914400,18-05-2015 04:00:00,81
adfs-proxy,1431907200,18-05-2015 02:00:00,92
adfs-proxy,1431900000,18-05-2015 00:00:00,146
adfs-proxy,1431892800,17-05-2015 22:00:00,103
adfs-proxy,1431885600,17-05-2015 20:00:00,57
adfs-proxy,1431878400,17-05-2015 18:00:00,65
adfs-proxy,1431871200,17-05-2015 16:00:00,327
adfs-proxy,1431864000,17-05-2015 14:00:00,130
adfs-proxy,1431856800,17-05-2015 12:00:00,129
adfs-proxy,1431849600,17-05-2015 10:00:00,161
adfs-proxy,1431842400,17-05-2015 08:00:00,191
adfs-proxy,1431835200,17-05-2015 06:00:00,118
adfs-proxy,1431828000,17-05-2015 04:00:00,89
adfs-proxy,1431820800,17-05-2015 02:00:00,74
adfs-proxy,1431813600,17-05-2015 00:00:00,181
adfs-proxy,1431806400,16-05-2015 22:00:00,150
adfs-proxy,1431799200,16-05-2015 20:00:00,133
adfs-proxy,1431792000,16-05-2015 18:00:00,186
